Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,01:49:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.98,1735.94,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
2,01:49:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.96,1735.94,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
3,01:49:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.94,1735.94,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
4,01:49:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.92,1735.94,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
5,01:49:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.90,1735.94,0.00,55.00,0.00,1,0.87,0.00,-0.08,1,0.00,0
6,01:49:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.88,1735.94,0.00,55.00,0.00,1,0.90,0.00,-0.08,1,0.00,0
7,01:49:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.86,1735.94,0.00,55.00,0.00,1,0.90,0.00,-0.08,1,0.00,0
8,01:49:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.84,1735.94,0.00,55.00,0.00,1,0.90,0.00,-0.08,1,0.00,0
9,01:49:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.82,1735.94,0.00,55.00,0.00,1,0.90,0.00,-0.08,1,0.00,0
10,01:49:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.80,1735.94,0.00,55.00,0.00,1,0.90,0.00,-0.08,1,0.00,0
11,01:49:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.78,1735.94,0.00,55.00,0.00,1,0.90,0.00,-0.08,1,0.00,0
12,01:49:59,0.00,-0.02,-0.00,0.33,-0.00,1323,0,-0.76,1735.94,0.00,55.00,0.00,1,0.87,0.00,-0.08,1,0.00,0
13,01:49:59,0.00,-0.02,-0.00,0.33,-0.00,1503,0,-0.74,1735.94,0.00,55.00,0.00,1,0.87,0.00,-0.08,1,0.00,0
14,01:49:59,0.00,-0.02,-0.00,0.33,-0.00,1694,0,-0.72,1735.94,0.00,55.00,0.00,1,0.87,0.00,-0.08,1,0.00,0
15,01:49:59,0.00,-0.02,-0.00,0.33,-0.00,1895,0,-0.70,1735.94,0.00,55.00,0.00,1,0.87,0.00,-0.08,1,0.00,0
16,01:49:59,0.00,-0.02,-0.00,0.33,-0.00,2115,0,-0.68,1735.94,0.00,55.00,0.00,1,0.87,0.00,-0.08,1,0.00,0
