Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.98,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
2,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.96,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
3,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.94,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
4,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.92,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
5,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.90,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
6,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.88,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
7,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.86,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
8,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.84,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
9,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.82,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
10,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.80,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
11,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.78,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
12,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.76,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
13,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.74,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
14,17:04:43,0.06,0.02,0.00,0.33,0.00,1152,0,-0.72,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
15,17:04:44,0.06,0.02,0.00,0.33,0.00,1152,0,-0.70,4183.37,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
