Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,1152,0,-0.98,2032.56,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
2,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,1210,0,-0.96,2032.56,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
3,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,1329,0,-0.94,2032.56,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
4,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,1410,0,-0.92,2032.56,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
5,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,1558,0,-0.90,2032.56,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
6,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,1667,0,-0.88,2032.56,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
7,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,1732,0,-0.86,2032.56,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
8,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,1869,0,-0.84,2032.56,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
9,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,1962,0,-0.82,2032.56,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
10,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,2133,0,-0.80,2032.56,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
11,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,2257,0,-0.78,2032.56,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
12,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,2328,0,-0.76,2032.56,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
